Motor_Front,Motor_Rear,type_batt,vmax,tm,grade,mile,rank
Motor_Pe_50,Motor_Pe_70,BATT_88,154,6.45106173730289,0.424474816209605,734.334569444445,1
Motor_Pe_50,Motor_Pe_80,BATT_88,133,5.99563515548253,0.445228685308536,734.334569444445,2
Motor_Pe_60,Motor_Pe_70,BATT_88,154,5.91465093369105,0.487732588565861,734.334569444445,3
Motor_Pe_60,Motor_Pe_80,BATT_88,133,5.52509822650575,0.509525449494429,734.334569444445,4
Motor_Pe_50,Motor_Pe_70,BATT_77,154,6.45106173730289,0.424474816209605,643.511819444445,5
Motor_Pe_50,Motor_Pe_80,BATT_77,133,5.99563515548253,0.445228685308536,643.511819444445,6
Motor_Pe_60,Motor_Pe_70,BATT_77,154,5.91465093369105,0.487732588565861,643.511819444445,7
Motor_Pe_60,Motor_Pe_80,BATT_77,133,5.52509822650575,0.509525449494429,643.511819444445,8
Motor_Pe_50,Motor_Pe_70,BATT_525,154,6.45106173730289,0.424474816209605,435.639583333333,9
Motor_Pe_50,Motor_Pe_80,BATT_525,133,5.99563515548253,0.445228685308536,435.639583333333,10
Motor_Pe_60,Motor_Pe_70,BATT_525,154,5.91465093369105,0.487732588565861,435.639583333333,11
Motor_Pe_60,Motor_Pe_80,BATT_525,133,5.52509822650575,0.509525449494429,435.639583333333,12
